YearMonth,Sector,Ticker,Risk_Reversal_25,ATM_IV,HHI,Supplier_HHI,Hub_Shock,tot_return_index_gross_dvds,VIX,Term_Spread,Credit_Spread
2020-11,Industrials,XLI US Equity,0.00234,0.23345,0.0237163839942019,0.0942043139533868,0,121.3401,20.57,0.7,1.0
2017-05,Energy,XLE US Equity,-0.001916,0.1689649999999999,0.1551673393405647,0.0537720607587251,0,40.8065,10.41,0.9999999999999998,0.6999999999999997
2019-11,Consumer Discretionary,XLY US Equity,0.000954,0.117256,0.1398665534758217,0.0536986809885986,0,75.2301,12.62,0.1999999999999999,0.8799999999999999
2012-04,Utilities,XLU US Equity,0.0017529999999999,0.1065665,0.0588333459746251,0.1421990999272677,0,23.2067,17.15,1.7599999999999998,1.2300000000000004
2005-02,Communication,XLC US Equity,,,0.1492863959600073,0.0973651287899629,0,,12.08,0.79,0.6200000000000001
2013-07,Consumer Discretionary,XLY US Equity,0.0006859999999999,0.136343,0.0562202313524647,0.0662113017815521,0,33.3905,13.45,2.24,0.9800000000000004
2023-08,Technology,XLK US Equity,-0.0066829999999999,0.1754115,0.1350840656059079,0.0603235023346042,0,112.5006,13.57,-0.7300000000000004,1.0699999999999994
2023-03,Real Estate,XLRE US Equity,-0.015414,0.229177,0.0544319030428466,0.0460117244462088,0,48.4289,18.7,-0.6399999999999997,1.1100000000000003
2017-08,Materials,XLB US Equity,-0.001213,0.1195015,0.072777408667568,0.0659244909887725,0,36.7054,10.59,0.8699999999999999,0.6799999999999997
2015-10,Materials,XLB US Equity,-0.0276389999999999,0.1758195,0.0740186268403122,0.0759075972451072,0,29.1258,15.07,1.4299999999999995,1.3899999999999997
2007-09,Technology,XLK US Equity,0.0049089999999999,0.1680615,0.0961507784371912,0.0959007460011187,0,13.7191,18.0,0.5099999999999998,0.8499999999999996
2006-03,Financials,XLF US Equity,0.0018899999999999,0.1159999999999999,0.0557912922281449,0.0995854108336275,0,27.2031,11.39,-0.0100000000000006,0.8799999999999999
2020-12,Consumer Staples,XLP US Equity,-0.0046239999999999,0.16196,0.0698986262613033,0.0559412782510368,0,102.1877,22.75,0.79,0.9000000000000004
2013-01,Industrials,XLI US Equity,0.000144,0.143102,0.0564680129457309,0.0880302575204404,0,47.2326,14.28,1.64,0.9300000000000006
2018-03,Real Estate,XLRE US Equity,-0.003641,0.1506505,0.0482675061227458,0.052620294961499,0,34.0309,19.97,0.56,0.7699999999999996
2016-06,Real Estate,XLRE US Equity,0.037859,0.1674175,0.0519428002339457,0.055832272917799,0,34.5769,15.63,0.91,1.0300000000000002
2008-05,Utilities,XLU US Equity,-0.006387,0.1608635,0.0587302191321716,0.1689103977710702,0,22.8031,17.83,1.4299999999999995,1.3599999999999994
2019-06,Financials,XLF US Equity,-0.0067819999999999,0.164234,0.0456907662466684,0.0723332302996767,0,37.198,15.08,0.2599999999999998,1.04
